State,Year,Age,Type of Disorder,Sex,Type of Mental Disorder,Occupation,"New cases per 100,000","New Cases / 100,000",
Telangana,2019,25-29 y,Mental Disorder,Female,Anxiety disorders,Work ,741.0775086,741,
Jammu & Kashmir and Ladakh,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,33.99445025,33,
Arunachal Pradesh,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,34.75272616,34,
Uttarakhand,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,37.07915546,37,
Himachal Pradesh,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,34.76832545,34,
Other Union Territories,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,33.91426097,33,
Andhra Pradesh,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,34.92944009,34,
Assam,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,35.9816732,35,
Delhi,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,34.17109903,34,
Goa,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,33.41517294,33,
Haryana,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,35.05968682,35,
Karnataka,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,35.36218101,35,
Kerala,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,33.66880554,33,
Maharashtra,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,35.03118187,35,
Manipur,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,35.05617259,35,
Meghalaya,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,35.05725798,35,
Mizoram,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,34.6585046,34,
Nagaland,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,35.16612938,35,
Odisha,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,35.88519694,35,
Punjab,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,35.4463276,35,
Rajasthan,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,35.21918788,35,
Sikkim,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,34.7126959,34,
Tamil Nadu,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,32.17169954,32,
Tripura,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,35.07713552,35,
West Bengal,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,34.19279216,34,
Bihar,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,34.97341623,34,
Chhattisgarh,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,36.42724641,36,
Jharkhand,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,35.21128055,35,
Madhya Pradesh,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,36.10742062,36,
Uttar Pradesh,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,35.78505515,35,
Gujarat,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,34.97770462,34,
Telangana,2019,25-29 y,Mental Disorder,Male,Bipolar disorder,Work ,34.93037801,34,
Jammu & Kashmir and Ladakh,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,28.1863767,28,
Arunachal Pradesh,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,28.97730077,28,
Uttarakhand,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,30.25843008,30,
Himachal Pradesh,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,28.49501033,28,
Other Union Territories,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,27.99696719,27,
Andhra Pradesh,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,29.459966,29,
Assam,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,30.44129525,30,
Delhi,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,28.71610581,28,
Goa,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,27.63502426,27,
Haryana,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,28.60336366,28,
Karnataka,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,29.09758098,29,
Kerala,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,26.96555544,26,
Maharashtra,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,28.75142359,28,
Manipur,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,29.26017942,29,
Meghalaya,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,28.95304129,28,
Mizoram,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,28.78098599,28,
Nagaland,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,29.47150024,29,
Odisha,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,30.12391834,30,
Punjab,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,28.94428652,28,
Rajasthan,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,29.29877352,29,
Sikkim,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,28.36499053,28,
Tamil Nadu,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,25.89065109,25,
Tripura,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,29.05493714,29,
West Bengal,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,28.80143998,28,
Bihar,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,29.69769998,29,
Chhattisgarh,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,30.41278652,30,
Jharkhand,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,30.06348148,30,
Madhya Pradesh,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,29.7824642,29,
Uttar Pradesh,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,30.25853065,30,
Gujarat,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,29.12112067,29,
Telangana,2019,25-29 y,Mental Disorder,Female,Bipolar disorder,Work ,28.86969012,28,
Jammu & Kashmir and Ladakh,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Arunachal Pradesh,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Uttarakhand,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Himachal Pradesh,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Other Union Territories,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Andhra Pradesh,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Assam,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Delhi,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Goa,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Haryana,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Karnataka,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Kerala,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Maharashtra,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Manipur,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Meghalaya,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Mizoram,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Nagaland,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Odisha,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Punjab,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Rajasthan,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Sikkim,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Tamil Nadu,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Tripura,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
West Bengal,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Bihar,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Chhattisgarh,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Jharkhand,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Madhya Pradesh,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Uttar Pradesh,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Gujarat,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Telangana,2019,25-29 y,Mental Disorder,Male,Conduct disorder,Work ,0,0,
Jammu & Kashmir and Ladakh,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Arunachal Pradesh,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Uttarakhand,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Himachal Pradesh,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Other Union Territories,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Andhra Pradesh,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Assam,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Delhi,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Goa,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Haryana,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Karnataka,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Kerala,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Maharashtra,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Manipur,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Meghalaya,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Mizoram,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Nagaland,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Odisha,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Punjab,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Rajasthan,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Sikkim,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Tamil Nadu,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Tripura,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
West Bengal,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Bihar,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Chhattisgarh,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Jharkhand,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Madhya Pradesh,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Uttar Pradesh,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Gujarat,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Telangana,2019,25-29 y,Mental Disorder,Female,Conduct disorder,Work ,0,0,
Jammu & Kashmir and Ladakh,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,3019.497502,3019,
Arunachal Pradesh,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,4310.142377,4310,
Uttarakhand,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,2920.645557,2920,
Himachal Pradesh,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,3330.121824,3330,
Other Union Territories,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,3627.124391,3627,
Andhra Pradesh,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,4607.172702,4607,
Assam,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,3399.766373,3399,
Delhi,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,2696.145749,2696,
Goa,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,3283.600494,3283,
Haryana,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,4665.795365,4665,
Karnataka,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,3584.160707,3584,
Kerala,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,3354.456022,3354,
Maharashtra,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,3871.639849,3871,
Manipur,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,3757.942275,3757,
Meghalaya,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,4291.256783,4291,
Mizoram,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,2851.629421,2851,
Nagaland,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,3300.936361,3300,
Odisha,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,4371.357602,4371,
Punjab,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,2374.754764,2374,
Rajasthan,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,3192.912512,3192,
Sikkim,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,3173.02491,3173,
Tamil Nadu,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,4824.699609,4824,
Tripura,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,2960.642205,2960,
West Bengal,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,2847.228307,2847,
Bihar,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,2755.819663,2755,
Chhattisgarh,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,2200.771458,2200,
Jharkhand,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,3668.510364,3668,
Madhya Pradesh,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,2645.582176,2645,
Uttar Pradesh,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,2963.037264,2963,
Gujarat,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,2919.257711,2919,
Telangana,2019,25-29 y,Mental Disorder,Male,Depressive disorders,Work ,4511.708499,4511,
Jammu & Kashmir and Ladakh,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,3869.647918,3869,
Arunachal Pradesh,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,5503.827855,5503,
Uttarakhand,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,3817.49709,3817,
Himachal Pradesh,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,4322.274487,4322,
Other Union Territories,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,4598.53498,4598,
Andhra Pradesh,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,5695.918395,5695,
Assam,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,4378.600726,4378,
Delhi,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,3683.70203,3683,
Goa,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,4007.402554,4007,
Haryana,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,6498.314298,6498,
Karnataka,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,4328.945241,4328,
Kerala,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,4096.228742,4096,
Maharashtra,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,5112.380769,5112,
Manipur,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,5724.603607,5724,
Meghalaya,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,5398.563476,5398,
Mizoram,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,3771.429193,3771,
Nagaland,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,4293.543333,4293,
Odisha,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,5689.156719,5689,
Punjab,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,3830.739485,3830,
Rajasthan,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,3880.818732,3880,
Sikkim,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,4343.286736,4343,
Tamil Nadu,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,6988.947141,6988,
Tripura,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,3937.608575,3937,
West Bengal,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,4794.254082,4794,
Bihar,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,3997.22897,3997,
Chhattisgarh,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,3395.813447,3395,
Jharkhand,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,4094.725973,4094,
Madhya Pradesh,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,4007.393974,4007,
Uttar Pradesh,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,3885.405086,3885,
Gujarat,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,3643.237761,3643,
Telangana,2019,25-29 y,Mental Disorder,Female,Depressive disorders,Work ,5670.942574,5670,
Jammu & Kashmir and Ladakh,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,440.7511539,440,
Arunachal Pradesh,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,462.0744245,462,
Uttarakhand,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,484.506668,484,
Himachal Pradesh,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,481.5874158,481,
Other Union Territories,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,504.9903835,504,
Andhra Pradesh,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,461.528474,461,
Assam,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,421.3906767,421,
Delhi,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,532.2579483,532,
Goa,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,552.703173,552,
Haryana,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,490.4006217,490,
Karnataka,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,480.1342791,480,
Kerala,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,485.4119478,485,
Maharashtra,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,487.6215598,487,
Manipur,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,417.1348511,417,
Meghalaya,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,437.0790087,437,
Mizoram,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,466.9440653,466,
Nagaland,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,452.8976893,452,
Odisha,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,428.17064,428,
Punjab,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,470.5748086,470,
Rajasthan,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,439.6559982,439,
Sikkim,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,525.8687702,525,
Tamil Nadu,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,477.6922287,477,
Tripura,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,440.0818441,440,
West Bengal,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,437.6287247,437,
Bihar,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,379.3827951,379,
Chhattisgarh,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,438.8586989,438,
Jharkhand,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,419.7402475,419,
Madhya Pradesh,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,425.0945742,425,
Uttar Pradesh,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,406.2428136,406,
Gujarat,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,482.3716861,482,
Telangana,2019,25-29 y,Mental Disorder,Male,Eating disorders,Work ,482.7683637,482,
Jammu & Kashmir and Ladakh,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,171.3507422,171,
Arunachal Pradesh,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,181.0125769,181,
Uttarakhand,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,190.8422175,190,
Himachal Pradesh,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,188.4251656,188,
Other Union Territories,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,197.9120795,197,
Andhra Pradesh,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,179.9293059,179,
Assam,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,165.0392013,165,
Delhi,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,209.6930033,209,
Goa,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,215.6430913,215,
Haryana,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,193.1958395,193,
Karnataka,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,188.039559,188,
Kerala,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,190.6355475,190,
Maharashtra,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,191.4498861,191,
Manipur,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,164.222389,164,
Meghalaya,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,170.5428028,170,
Mizoram,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,180.6981874,180,
Nagaland,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,177.178975,177,
Odisha,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,166.694941,166,
Punjab,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,183.8996985,183,
Rajasthan,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,172.2010701,172,
Sikkim,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,205.8515581,205,
Tamil Nadu,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,187.5712282,187,
Tripura,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,171.913431,171,
West Bengal,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,171.1308527,171,
Bihar,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,147.5109098,147,
Chhattisgarh,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,172.2389532,172,
Jharkhand,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,163.3074171,163,
Madhya Pradesh,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,165.7518435,165,
Uttar Pradesh,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,158.6809312,158,
Gujarat,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,189.048047,189,
Telangana,2019,25-29 y,Mental Disorder,Female,Eating disorders,Work ,187.8937001,187,
Jammu & Kashmir and Ladakh,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Arunachal Pradesh,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Uttarakhand,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Himachal Pradesh,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Other Union Territories,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Andhra Pradesh,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Assam,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Delhi,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Goa,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Haryana,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Karnataka,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Kerala,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Maharashtra,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Manipur,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Meghalaya,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Mizoram,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Nagaland,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Odisha,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Punjab,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Rajasthan,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Sikkim,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Tamil Nadu,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Tripura,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
West Bengal,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Bihar,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Chhattisgarh,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Jharkhand,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Madhya Pradesh,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Uttar Pradesh,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Gujarat,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Telangana,2019,25-29 y,Mental Disorder,Male,Attention-deficit/hyperactivity disorder,Work ,0,0,
Jammu & Kashmir and Ladakh,2019,25-29 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,Work ,0,0,
Arunachal Pradesh,2019,25-29 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,Work ,0,0,
Uttarakhand,2019,25-29 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,Work ,0,0,
Himachal Pradesh,2019,25-29 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,Work ,0,0,
Other Union Territories,2019,25-29 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,Work ,0,0,
Andhra Pradesh,2019,25-29 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,Work ,0,0,
Assam,2019,25-29 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,Work ,0,0,
Delhi,2019,25-29 y,Mental Disorder,Female,Attention-deficit/hyperactivity disorder,Work ,0,0,
